ticket_id,created_at,priority,category,assignment_group,region,channel,service,resolution_minutes,sla_target_minutes,sla_breached,reopened,csat_score,in_change_window
INC25042600000,2025-04-26T02:19,P1,Hardware,ServiceDesk-B,EU,Phone,Intranet,284,240,1,0,3.3,0
INC25011600001,2025-01-16T15:34,P3,Access,ServiceDesk-A,UK,Portal,VPN,1668,2880,0,0,4.5,0
INC25042700002,2025-04-27T23:30,P3,Hardware,EUCP,US,Portal,SIEM,5255,2880,1,1,3.3,0
INC25050600003,2025-05-06T15:57,P3,Access,FieldSupport,UK,Portal,M365,2538,2880,0,0,3.9,0
INC25060200004,2025-06-02T13:10,P3,Account,SecurityOps,UK,Monitoring,Laptop,2910,2880,1,0,2.1,0
INC25041000005,2025-04-10T08:48,P4,Network,FieldSupport,EU,Phone,M365,10049,5760,1,0,2.3,0
INC25021100006,2025-02-11T00:31,P3,Access,ServiceDesk-B,UK,Portal,SAP,1886,2880,0,0,3.3,0
INC25030700007,2025-03-07T16:04,P3,Hardware,ServiceDesk-B,APAC,Phone,IAM,2304,2880,0,0,4.7,0
INC25013100008,2025-01-31T19:19,P4,Access,ServiceDesk-B,APAC,Phone,IAM,4070,5760,0,0,4.4,0
INC25050400009,2025-05-04T05:32,P4,Account,ServiceDesk-B,UK,Portal,VPN,4435,5760,0,0,5.0,0
INC25020700010,2025-02-07T23:26,P4,Email,ServiceDesk-B,EU,Email,Intranet,4164,5760,0,0,5.0,0
INC25032400011,2025-03-24T14:14,P3,Hardware,EUCP,UK,Phone,Intranet,2383,2880,0,0,4.3,0
INC25031300012,2025-03-13T21:24,P3,Other,EUCP,UK,Portal,M365,3840,2880,1,0,2.5,1
INC25042300013,2025-04-23T22:34,P4,Software,ServiceDesk-A,UK,Monitoring,IAM,12299,5760,1,0,4.2,1
INC25062400014,2025-06-24T19:03,P4,Access,SecurityOps,EU,Email,VPN,8105,5760,1,1,2.9,0
INC25042600015,2025-04-26T08:57,P2,Software,Networks,APAC,Chat,VPN,500,960,0,0,3.2,0
INC25040100016,2025-04-01T02:31,P2,Email,FieldSupport,UK,Phone,IAM,593,960,0,0,5.0,0
INC25012800017,2025-01-28T12:15,P4,Network,SecurityOps,UK,Portal,Laptop,5128,5760,0,0,4.4,0
INC25010400018,2025-01-04T12:08,P4,Email,FieldSupport,UK,Portal,Intranet,4635,5760,0,1,4.1,0
INC25062000019,2025-06-20T10:49,P2,Software,ServiceDesk-A,EU,Phone,M365,796,960,0,0,4.9,0
INC25032700020,2025-03-27T13:13,P3,Hardware,FieldSupport,UK,Portal,IAM,2705,2880,0,0,4.1,0
INC25051200021,2025-05-12T09:18,P3,Hardware,MajorIncident,EU,Email,WiFi,1685,2880,0,0,5.0,0
INC25012200022,2025-01-22T18:44,P3,Software,EUCP,UK,Portal,M365,1955,2880,0,0,3.5,0
INC25042400023,2025-04-24T14:21,P3,Email,FieldSupport,UK,Portal,SAP,3934,2880,1,0,3.6,0
INC25020800024,2025-02-08T13:30,P2,Other,EUCP,UK,Phone,SIEM,776,960,0,0,3.8,0
INC25020400025,2025-02-04T06:34,P2,Software,Networks,UK,Phone,SAP,1269,960,1,0,3.6,0
INC25062700026,2025-06-27T03:35,P2,Software,ServiceDesk-B,US,Portal,VPN,287,960,0,1,4.3,0
INC25032200027,2025-03-22T18:00,P3,Hardware,ServiceDesk-B,APAC,Email,Intranet,1932,2880,0,0,5.0,0
INC25041000028,2025-04-10T01:24,P2,Other,FieldSupport,APAC,Chat,SIEM,720,960,0,0,4.5,0
